sex,percentile,age,BMI
M,97,5.11830992738208,16.4654482644835
M,97,6.01220686397136,16.6560762914242
M,97,7.03098594589854,17.0532166355936
M,97,8.00375581638544,17.5297860666574
M,97,9.01596268035679,18.1493242909192
M,97,10.021596273301,18.8324060392117
M,97,11.0140854303336,19.6266867275505
M,97,12.0197190232779,20.4686253770562
M,97,13.0122060741679,21.3741062780169
M,97,14.0178396671121,22.2795871789777
M,97,15.0037555531176,23.1056389930439
M,97,15.9896714391231,23.8363787025034
M,97,17.0018772500232,24.4559175630531
M,97,18.0009386250116,24.9324863578291
M,97,18.9934267289729,25.3296267019985
M,85,5.11830992738208,15.3852261720216
M,85,6.01877960846283,15.4646539863403
M,85,7.02441320140707,15.7029387018722
M,85,8.01690130536837,16.0365367945866
M,85,9.02253489831262,16.4495627016197
M,85,10.021596273301,16.8943610069561
M,85,11.0272298662453,17.4662425426267
M,85,12.0065724812236,18.0540109137367
M,85,13.0056338562121,18.7847493506205
M,85,13.9981219601734,19.5472601858075
M,85,15.0103288241447,20.2938829129793
M,85,16.002816928106,20.9610790984081
M,85,17.0018772500232,21.5647343049576
M,85,18.0075118960387,22.0571867537338
M,85,19,22.5178718945096
M,75,5.1248831984092,14.9563147021247
M,75,6.0253523529543,15.0198569535797
M,75,7.0178404569156,15.2104849805204
M,75,8.01690130536837,15.5281962377953
M,75,9.00938940932968,15.8141376419184
M,75,10.021596273301,16.2112792586636
M,75,11.0206576482895,16.7196185428792
M,75,12.0131457522508,17.259730225398
M,75,13.0122060741679,17.9269264108268
M,75,14.0178396671121,18.6576648477105
M,75,15.0037555531176,19.3248610331393
M,75,16.002816928106,19.9761716557044
M,75,17.0084505210503,20.5480544639507
M,75,17.9943653539845,21.0405081853026
M,75,19.0065732710271,21.4535340923357
M,25,5.11830992738208,13.5742656426759
M,25,6.01877960846283,13.5742656426759
M,25,7.01126771242413,13.7013501455858
M,25,8.01032856087691,13.8602057742233
M,25,9.02253489831262,14.0667193640277
M,25,10.021596273301,14.3526607681509
M,25,11.0075111062352,14.6703732980015
M,25,12.0262912412337,15.0833992050347
M,25,12.9924883672291,15.5123106749315
M,25,14.0046941781292,16.1000790460416
M,25,15.0169010421006,16.6401907285604
M,25,16.0093891460619,17.1803011385035
M,25,17.0018772500232,17.6250994438399
M,25,18.0009386250116,18.0063542251455
M,25,19.0065732710271,18.3399523178599
M,10,5.10516496493479,13.0500407955965
M,10,6.03192562398141,13.0341539601571
